EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
GR,11,Greece,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0138774645254016
HU,12,Hungary,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0199672517593076
IS,13,Iceland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,5.66867820452899e-07
IE,14,Ireland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00518514215588549
LU,16,Luxembourg,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000115636614945288
NL,17,Netherlands,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0014872582775447
NO,18,Norway,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0091288976674061
PL,19,Poland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.313333161535535
PT,20,Portugal,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00389565953209052
RO,21,Romania,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0454749085178314
ES,22,Spain,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0408959655383825
SE,23,Sweden,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0242852281106149
CH,24,Switzerland,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.000399215963119786
TR,25,Turkey,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,2.77369080225822
GB,27,United Kingdom,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0402986419844607
NOS,31,North Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00653698339206327
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0234740391036528
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.910438105610013
BLS,34,Black Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.337473791098804
