Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,ISO,layer_name,t1,ann_emis_kt
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BAS,voc_BAS_sector=11,0,0
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BAS,voc_BAS_sector=12,0,0
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BAS,voc_BAS_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BE,voc_BE_sector=1,424.514218600718,0.424514218600718
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BE,voc_BE_sector=2,13547.3292087547,13.5473292087547
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BE,voc_BE_sector=3,11190.2028328242,11.1902028328242
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BE,voc_BE_sector=4,6154.89448856818,6.15489448856818
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BE,voc_BE_sector=5,41323.3056478262,41.3233056478262
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BE,voc_BE_sector=6,6873.81923512909,6.87381923512909
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BE,voc_BE_sector=7,168.688542023096,0.168688542023096
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BE,voc_BE_sector=8,145.997960515578,0.145997960515578
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BE,voc_BE_sector=9,2578.82230982159,2.57882230982159
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BE,voc_BE_sector=10,483.959887386,0.483959887386
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BE,voc_BE_sector=11,42660.0920180916,42.6600920180916
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BE,voc_BE_sector=12,5031.13214113599,5.03113214113599
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BE,voc_BE_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BG,voc_BG_sector=1,840.229411223566,0.840229411223566
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BG,voc_BG_sector=2,8081.88910952677,8.08188910952677
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BG,voc_BG_sector=3,15680.8839196571,15.6808839196571
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BG,voc_BG_sector=4,11571.92849986,11.57192849986
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BG,voc_BG_sector=5,20303.85169616,20.3038516961601
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BG,voc_BG_sector=6,6497.06729843025,6.49706729843025
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BG,voc_BG_sector=7,24.3779050157092,0.0243779050157092
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BG,voc_BG_sector=8,11.164888081915,0.011164888081915
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BG,voc_BG_sector=9,1034.24969447986,1.03424969447986
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BG,voc_BG_sector=10,802.185948380454,0.802185948380454
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BG,voc_BG_sector=11,9443.08047025075,9.44308047025075
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BG,voc_BG_sector=12,2102.7116218163,2.1027116218163
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BG,voc_BG_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BLS,voc_BLS_sector=1,0,0
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BLS,voc_BLS_sector=2,0,0
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BLS,voc_BLS_sector=3,0,0
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BLS,voc_BLS_sector=4,0,0
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BLS,voc_BLS_sector=5,0,0
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,BLS,voc_BLS_sector=6,0,0
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,BLS,voc_BLS_sector=7,774.190550926958,0.774190550926958
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,BLS,voc_BLS_sector=8,0,0
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,BLS,voc_BLS_sector=9,0,0
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,BLS,voc_BLS_sector=10,0,0
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,BLS,voc_BLS_sector=11,0,0
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,BLS,voc_BLS_sector=12,0,0
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,BLS,voc_BLS_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,BY,voc_BY_sector=1,1877.49327762695,1.87749327762695
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,BY,voc_BY_sector=2,32250.5201507117,32.2505201507117
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,BY,voc_BY_sector=3,37863.0312776037,37.8630312776037
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,BY,voc_BY_sector=4,20441.7694515554,20.4417694515554
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,BY,voc_BY_sector=5,41819.4638167244,41.8194638167244
