Pollutant,GNFR,ISO2,RepTot_2019,RepTot_2020,RepTot_2021,MapTot,rep21_to_rep19,map21_to_rep21
co,B_Industry,LU,7.50856295999699,4.33335486058573,7.62825633956923,7.62825633956922,0.984309208521039,1
co,B_Industry,LV,7.31021207266633,7.63549036015928,8.28757637146864,8.28757637146864,0.88206874302033,1
co,B_Industry,MC,0.0001888730572684,0.000123078732550979,0.000117489308509888,0.000117489308509888,1.60757655027397,1
co,B_Industry,MD,1.704347,3.099252,,1.30515315507269,,
co,B_Industry,ME,4.90441889225,5.0760413606,0.44070038778,0.077464,11.1286920280595,0.175774748895094
co,B_Industry,MK,8.58834708946869,5.95733345154866,7.06302543092311,7.06302543092312,1.21595868137009,1
co,B_Industry,MT,0.0256740865422866,0.0294135586725519,0.032221374147864,0.0322213741478641,0.796802967634718,1
co,B_Industry,NL,96.356589232,85.40808598,80.966768752,80.966768752,1.19007576462806,1
co,B_Industry,NO,184.5023115813,186.5561950078,196.2069243205,196.2069243205,0.940345567416975,1
co,B_Industry,NOA,,,,162.084190609996,,
co,B_Industry,PL,218.046533423,203.8923146125,203.589563676704,203.589563676704,1.07101036755132,0.999999999999999
co,B_Industry,PT,22.9342348157025,23.3397630395523,23.6810318122511,23.6810318122511,0.968464338780954,1
co,B_Industry,RO,81.3677587804147,72.7594836156079,79.2235600637811,79.223560063781,1.02706516489422,1
co,B_Industry,RS,41.8186645459288,37.4807333003201,40.1273633725431,40.1273633725431,1.04214832551253,1
co,B_Industry,RU,1140.66324763697,1216.14172838988,,1165.95563856812,,
co,B_Industry,RUE,,,,272.742356265226,,
co,B_Industry,SE,34.722920516253,34.6412222789349,32.6070403755347,32.607040375534,1.06489028493079,0.999999999999979
co,B_Industry,SI,12.889115455323,10.6265524482128,9.51743952714477,9.51743952714477,1.35426292108942,1
co,B_Industry,SK,97.978540369,97.871930331,136.707244661,136.707244661,0.716703351105952,1
co,B_Industry,TJ,,,,25.7234913766107,,
co,B_Industry,TM,,,,32.0667211223099,,
co,B_Industry,TR,495.186241383092,534.19643503,551.895757076667,385.823862,0.897245965444708,0.699088291679698
co,B_Industry,UA,181.75992,178.65981,612.28587,1774.350026,0.296854670188616,2.89791111135718
co,B_Industry,UZ,,,,56.6999675010794,,
co,I_Offroad,AL,0.424231635,0.424231635,0.424231635,0.461772,1,1.08849025367946
co,I_Offroad,AST,,,,12.9981435715726,,
co,I_Offroad,AT,25.529476956701,24.173554529708,23.7459318682901,23.7459318682901,1.07510950078959,1
co,I_Offroad,AZ,,,,95.088368,,
co,I_Offroad,BE,31.6778547525301,31.9402497769747,31.7844596313242,31.7844596313242,0.996646006254923,1
co,I_Offroad,BG,9.58444281607774,9.04182816521288,9.78594839148146,9.78594839148146,0.979408681985374,1
co,I_Offroad,BY,15.7871,17.2327,12.8369,84.624512,1.22982184172191,6.59228567644836
co,I_Offroad,CA,1951.23178517301,1732.4368632848,1783.55774897557,,1.09401099364108,
co,I_Offroad,CH,29.4219834304233,28.907103990949,28.4575437188179,28.4575437188179,1.03389047632272,1
co,I_Offroad,CY,0.159129797908344,0.169782003297806,0.1684689062263,0.1684689062263,0.944564795206713,1
co,I_Offroad,CZ,28.2177878483222,27.3037888299519,27.5649991314328,27.5649991314328,1.02368179711441,1
co,I_Offroad,DE,298.31827071003,319.221838304773,311.31288975761,311.31288975761,0.958258653993743,1
co,I_Offroad,DK,57.5946507853098,55.0646460969728,53.9427099224636,53.9427099224636,1.06770035966112,1
co,I_Offroad,EE,6.239142,3.087841,2.260816,2.260816,2.75968588332708,1
co,I_Offroad,ES,50.6536959888006,48.1851838175338,57.6383421814706,57.5497747214704,0.87881944677244,0.998463393348107
co,I_Offroad,FI,71.1771963062988,69.1096589607169,67.2986373416433,67.2986373416433,1.05763205791175,1
co,I_Offroad,FR,338.10175213162,345.739515475077,345.39065985947,345.390659859469,0.978896627572918,0.999999999999997
co,I_Offroad,GB,372.968663840212,364.696243685825,383.690256255819,383.690256255817,0.972056646628893,0.999999999999996
co,I_Offroad,GE,0.7712285,0.4694943,0.536315,0.536314999999999,1.43801404025619,0.999999999999999
co,I_Offroad,GR,12.7787397373659,22.0265944391,8.2445867882344,8.24458678823441,1.54995514821944,1
co,I_Offroad,HR,9.89541342233292,8.9065733508774,,8.90657335087738,,
co,I_Offroad,HU,9.16191825207532,9.15615822527883,9.10997791498382,9.10997791498383,1.00570147782752,1
co,I_Offroad,IE,1.74844058011641,1.61023449935782,1.60987881937313,1.60987881937313,1.08606968367795,1
co,I_Offroad,IS,0.88772397946271,0.803786492236,0.87593713,0.875937129999997,1.01345627335458,0.999999999999997
co,I_Offroad,IT,64.3461550122147,71.9520752165578,59.2276979625156,59.2276979625155,1.08641998973079,0.999999999999998
co,I_Offroad,KZ,133.698748836018,149.881431688135,12.57,,10.6363364229131,
co,I_Offroad,KZT,,,,8.186696,,
co,I_Offroad,LI,0.0594947353316669,0.0589703664830838,0.0581976154508372,0.0581976154508373,1.02228819635962,1
co,I_Offroad,LT,2.17855120234172,1.95078044355308,1.97679720114733,1.97679720114733,1.10206105162294,1
co,I_Offroad,LU,1.70791102151892,1.67186383705959,1.66341207593827,1.66341207593827,1.02675160666701,1
co,I_Offroad,LV,9.41805623146104,7.41473549473324,7.59073099717615,7.59073099717615,1.24073112786696,1
co,I_Offroad,MC,0.024068144375584,0.029395311180583,0.0318560290915559,0.0318560290915559,0.755528704045658,1
co,I_Offroad,MD,1.19606584084832,1.39690427576852,,0.915922113195172,,
co,I_Offroad,ME,,,,1.902992,,
co,I_Offroad,MK,2.57704464183199,2.37290790857519,2.4670000243642,2.4670000243642,1.04460665439035,1
co,I_Offroad,MT,0.633222456157231,0.546712259465262,0.678896381225432,0.678896381225432,0.93272327511047,1
co,I_Offroad,NL,78.956319433,77.708858065,75.639588716,75.639588716,1.04384913738034,1
co,I_Offroad,NO,74.3412449201,76.5386198359,78.6224228161,78.6224228160994,0.945547621878636,0.999999999999991
co,I_Offroad,NOA,,,,2.23715165733653,,
co,I_Offroad,PL,17.4530671276004,17.1804765722453,17.4194697431783,17.4194697431783,1.00192872601276,1
co,I_Offroad,PT,3.02492739888116,3.44856369409062,3.63314793889762,3.63314793889762,0.832591309177185,1
co,I_Offroad,RO,59.6739766093038,46.9569641940614,54.422606459909,54.4226064599091,1.09649244111936,1
co,I_Offroad,RS,2.640410189,3.015762086,3.919992854,3.919992854,0.673575255706321,1
co,I_Offroad,RU,120.686062920361,64.4043022022958,,124.168586410198,,
co,I_Offroad,RUE,,,,36.0669813533894,,
co,I_Offroad,SE,89.4993386537851,87.4248126786928,85.813156859003,85.8131568590032,1.04295590477855,1
co,I_Offroad,SI,5.07217513202586,4.89524307017194,4.79277418776074,4.78581868746074,1.0582962879784,0.998548752762489
co,I_Offroad,SK,9.30700105845328,5.88397486179988,6.66158273194348,6.66158273194348,1.39711558543356,1
co,I_Offroad,TJ,,,,40.4677640878688,,
co,I_Offroad,TM,,,,50.4468264610857,,
co,I_Offroad,TR,1.4900755,1.1372395,1.32478678,275.416681999999,1.12476628125773,207.895101429076
co,I_Offroad,UA,3.84035,1.3392,,96.177388,,
co,I_Offroad,UZ,,,,89.1994354510456,,
co,H_Aviation,AST,,,,4.46973887475857,,
co,H_Aviation,AT,3.93604385388007,2.83381815129275,3.15505765494495,3.15505765494495,1.24753468378338,1
co,H_Aviation,BE,1.5822663040014,1.56959159559265,1.63607886139887,1.63607886139887,0.967108824233901,1
co,H_Aviation,BG,41.39664,24.476532,26.952996,26.952996,1.53588268999854,1
co,H_Aviation,BY,0.3994,0.2797,0.3969,,1.00629881582263,
co,H_Aviation,CA,28.8425069896196,21.3187192406834,23.8148946097831,,1.21111209863474,
