ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
BY,2010,2010,F_RoadTransport,sox,2288.89000000001,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BY,2010,2010,I_Offroad,sox,1353.51,8,eu,9,sec09,Offroad,EMEP_unprocessed
BY,2010,2010,J_Waste,sox,99.7799999999999,9,eu,10,sec10,Waste,EMEP_unprocessed
BY,2010,2010,L_AgriOther,sox,356.11,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CAS,2010,2010,G_Shipping,sox,3327.97252839244,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2010,2010,A_PublicPower,sox,288.709431147611,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CH,2010,2010,B_Industry,sox,5098.67860565846,3,eu,2,sec02,Industry,EMEP_unprocessed
CH,2010,2010,C_OtherStationaryComb,sox,4132.88116752531,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CH,2010,2010,D_Fugitive,sox,221.89971086124,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CH,2010,2010,E_Solvents,sox,6.9085,6,eu,5,sec05,Solvents,EMEP_unprocessed
CH,2010,2010,F_RoadTransport,sox,55.9119093922689,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CH,2010,2010,G_Shipping,sox,4.05355093968423,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2010,2010,H_Aviation,sox,141.221144568582,8,eu,8,sec08,Aviation,EMEP_unprocessed
CH,2010,2010,I_Offroad,sox,41.6927082179336,8,eu,9,sec09,Offroad,EMEP_unprocessed
CH,2010,2010,J_Waste,sox,63.4639174932928,9,eu,10,sec10,Waste,EMEP_unprocessed
CH,2010,2010,M_Other,sox,7.42838800000001,11,eu,13,sec13,Other,EMEP_unprocessed
CY,2010,2010,A_PublicPower,sox,20344.5494564624,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CY,2010,2010,B_Industry,sox,1113.1515727028,3,eu,2,sec02,Industry,EMEP_unprocessed
CY,2010,2010,C_OtherStationaryComb,sox,249.790313154177,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CY,2010,2010,E_Solvents,sox,0.131823,6,eu,5,sec05,Solvents,EMEP_unprocessed
CY,2010,2010,F_RoadTransport,sox,14.486765820464,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CY,2010,2010,G_Shipping,sox,1.89372789875302,8,eu,7,sec07,Shipping,EMEP_unprocessed
CY,2010,2010,H_Aviation,sox,22.756962647458,8,eu,8,sec08,Aviation,EMEP_unprocessed
CY,2010,2010,I_Offroad,sox,23.9374978522241,8,eu,9,sec09,Offroad,EMEP_unprocessed
CY,2010,2010,J_Waste,sox,0.0737493844355291,9,eu,10,sec10,Waste,EMEP_unprocessed
CY,2010,2010,L_AgriOther,sox,0.987,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CZ,2010,2010,A_PublicPower,sox,103745.873535,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CZ,2010,2010,B_Industry,sox,28190.9785850276,3,eu,2,sec02,Industry,EMEP_unprocessed
CZ,2010,2010,C_OtherStationaryComb,sox,27382.61383119,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CZ,2010,2010,D_Fugitive,sox,4374.19400000001,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CZ,2010,2010,E_Solvents,sox,3.86620701999999,6,eu,5,sec05,Solvents,EMEP_unprocessed
CZ,2010,2010,F_RoadTransport,sox,114.408113997444,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CZ,2010,2010,G_Shipping,sox,0.08,8,eu,7,sec07,Shipping,EMEP_unprocessed
CZ,2010,2010,H_Aviation,sox,41.3558397403901,8,eu,8,sec08,Aviation,EMEP_unprocessed
CZ,2010,2010,I_Offroad,sox,9.5945349086,8,eu,9,sec09,Offroad,EMEP_unprocessed
CZ,2010,2010,J_Waste,sox,18.1460608003,9,eu,10,sec10,Waste,EMEP_unprocessed
DE,2010,2010,A_PublicPower,sox,173170.055096258,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DE,2010,2010,B_Industry,sox,170572.761449424,3,eu,2,sec02,Industry,EMEP_unprocessed
DE,2010,2010,C_OtherStationaryComb,sox,40831.6165518454,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DE,2010,2010,D_Fugitive,sox,6841.87171138931,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DE,2010,2010,E_Solvents,sox,119.127222,6,eu,5,sec05,Solvents,EMEP_unprocessed
DE,2010,2010,F_RoadTransport,sox,771.207023230555,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DE,2010,2010,G_Shipping,sox,2406.48319410497,8,eu,7,sec07,Shipping,EMEP_unprocessed
DE,2010,2010,H_Aviation,sox,656.848245008865,8,eu,8,sec08,Aviation,EMEP_unprocessed
DE,2010,2010,I_Offroad,sox,347.524818978713,8,eu,9,sec09,Offroad,EMEP_unprocessed
DE,2010,2010,J_Waste,sox,59.1693059996956,9,eu,10,sec10,Waste,EMEP_unprocessed
DK,2010,2010,A_PublicPower,sox,3586.47838521921,1,eu,1,sec01,PublicPower,EMEP_unprocessed
DK,2010,2010,B_Industry,sox,5920.2975306017,3,eu,2,sec02,Industry,EMEP_unprocessed
DK,2010,2010,C_OtherStationaryComb,sox,1882.73191104749,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
DK,2010,2010,D_Fugitive,sox,1309.28054576227,5,eu,4,sec04,Fugitive,EMEP_unprocessed
DK,2010,2010,E_Solvents,sox,38.61866315,6,eu,5,sec05,Solvents,EMEP_unprocessed
DK,2010,2010,F_RoadTransport,sox,76.5035585162383,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
DK,2010,2010,G_Shipping,sox,1470.62882003964,8,eu,7,sec07,Shipping,EMEP_unprocessed
DK,2010,2010,H_Aviation,sox,100.544200945733,8,eu,8,sec08,Aviation,EMEP_unprocessed
DK,2010,2010,I_Offroad,sox,400.091520910778,8,eu,9,sec09,Offroad,EMEP_unprocessed
DK,2010,2010,J_Waste,sox,397.9295075,9,eu,10,sec10,Waste,EMEP_unprocessed
DK,2010,2010,L_AgriOther,sox,5.93984250000001,10,eu,12,sec12,AgriOther,EMEP_unprocessed
EE,2010,2010,A_PublicPower,sox,80415.8360000001,1,eu,1,sec01,PublicPower,EMEP_unprocessed
EE,2010,2010,B_Industry,sox,1953.675,3,eu,2,sec02,Industry,EMEP_unprocessed
EE,2010,2010,C_OtherStationaryComb,sox,615.686999999999,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
EE,2010,2010,D_Fugitive,sox,30.24,5,eu,4,sec04,Fugitive,EMEP_unprocessed
EE,2010,2010,E_Solvents,sox,1.918,6,eu,5,sec05,Solvents,EMEP_unprocessed
EE,2010,2010,F_RoadTransport,sox,6.48445921124566,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
EE,2010,2010,G_Shipping,sox,16,8,eu,7,sec07,Shipping,EMEP_unprocessed
EE,2010,2010,H_Aviation,sox,6.839,8,eu,8,sec08,Aviation,EMEP_unprocessed
EE,2010,2010,I_Offroad,sox,83.1530000000002,8,eu,9,sec09,Offroad,EMEP_unprocessed
EE,2010,2010,J_Waste,sox,12.276,9,eu,10,sec10,Waste,EMEP_unprocessed
ES,2010,2010,A_PublicPower,sox,59695.4153195297,1,eu,1,sec01,PublicPower,EMEP_unprocessed
ES,2010,2010,B_Industry,sox,124747.035174004,3,eu,2,sec02,Industry,EMEP_unprocessed
ES,2010,2010,C_OtherStationaryComb,sox,25391.0045963996,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
ES,2010,2010,D_Fugitive,sox,22964.403580745,5,eu,4,sec04,Fugitive,EMEP_unprocessed
ES,2010,2010,E_Solvents,sox,13.81211,6,eu,5,sec05,Solvents,EMEP_unprocessed
ES,2010,2010,F_RoadTransport,sox,471.137989999999,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
ES,2010,2010,G_Shipping,sox,3319.746668,8,eu,7,sec07,Shipping,EMEP_unprocessed
ES,2010,2010,H_Aviation,sox,444.304996941068,8,eu,8,sec08,Aviation,EMEP_unprocessed
ES,2010,2010,I_Offroad,sox,5772.122192984,8,eu,9,sec09,Offroad,EMEP_unprocessed
ES,2010,2010,J_Waste,sox,2144.300381,9,eu,10,sec10,Waste,EMEP_unprocessed
ES,2010,2010,L_AgriOther,sox,57.921138,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FI,2010,2010,A_PublicPower,sox,30450.058214897,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FI,2010,2010,B_Industry,sox,28253.6094439322,3,eu,2,sec02,Industry,EMEP_unprocessed
FI,2010,2010,C_OtherStationaryComb,sox,6002.93559366162,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FI,2010,2010,D_Fugitive,sox,51.5,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FI,2010,2010,E_Solvents,sox,52.538901,6,eu,5,sec05,Solvents,EMEP_unprocessed
FI,2010,2010,F_RoadTransport,sox,68.8996251637658,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
FI,2010,2010,G_Shipping,sox,1206.71314780549,8,eu,7,sec07,Shipping,EMEP_unprocessed
FI,2010,2010,H_Aviation,sox,51.9547227531297,8,eu,8,sec08,Aviation,EMEP_unprocessed
FI,2010,2010,I_Offroad,sox,11.3351590831812,8,eu,9,sec09,Offroad,EMEP_unprocessed
FI,2010,2010,L_AgriOther,sox,7.335057222,10,eu,12,sec12,AgriOther,EMEP_unprocessed
FR,2010,2010,A_PublicPower,sox,65492.2321715593,1,eu,1,sec01,PublicPower,EMEP_unprocessed
FR,2010,2010,B_Industry,sox,129528.690762166,3,eu,2,sec02,Industry,EMEP_unprocessed
FR,2010,2010,C_OtherStationaryComb,sox,28177.6692810898,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
FR,2010,2010,D_Fugitive,sox,37070.6945451422,5,eu,4,sec04,Fugitive,EMEP_unprocessed
FR,2010,2010,E_Solvents,sox,14.1791888764561,6,eu,5,sec05,Solvents,EMEP_unprocessed
FR,2010,2010,F_RoadTransport,sox,833.911630370963,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
FR,2010,2010,G_Shipping,sox,799.292017996022,8,eu,7,sec07,Shipping,EMEP_unprocessed
FR,2010,2010,H_Aviation,sox,650.882561992812,8,eu,8,sec08,Aviation,EMEP_unprocessed
FR,2010,2010,I_Offroad,sox,7314.22094616967,8,eu,9,sec09,Offroad,EMEP_unprocessed
FR,2010,2010,J_Waste,sox,508.134364535043,9,eu,10,sec10,Waste,EMEP_unprocessed
