Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,outwith,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,23186.7205095304,1934.17724262527,1934.54599417423,1934.44299811287,1933.81012744592,1932.76046091257,1931.48149244993,1930.38721569941,1929.6603951564,1929.68334130862,1930.53443133261,1931.95565397174,1933.28115634076,23186.7205095303,1
ie,terrestrial,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,3773.01512707288,314.417454837617,314.417414467369,314.417548676495,314.417782104843,314.418038804517,314.418271752322,314.418373251028,314.418356417811,314.418244617749,314.418086069389,314.417898543914,314.417657529829,3773.01512707288,1
ie,sea,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,290210.857436047,23836.8690920902,23868.8032084799,24055.8856557383,24238.3097452989,24335.8235245475,24378.7393941235,24368.8585275373,24366.5818439674,24386.2938195675,24331.702434707,24111.0939871936,23931.896202795,290210.857436046,1
uk,sea,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,1.80507660106839,0.148262456549701,0.148461082909785,0.149624713212939,0.150759369091929,0.151365893061292,0.151632824604346,0.151571366803523,0.151557206105758,0.151679812221291,0.151340260378532,0.149968102389262,0.148853513740028,1.80507660106839,1
uk,outwith,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,17086.8129943692,1402.98194972639,1406.07768595115,1414.99037615561,1426.49336884288,1433.59664904703,1435.26463799012,1435.15204871196,1435.20618489433,1435.68882127651,1432.36886054918,1420.41821959102,1408.57419163304,17086.8129943692,1
ie,sea,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,0.0482917413415679,0.00396518891178844,0.00397393826095472,0.00399912782264507,0.00403163824736207,0.00405171394962491,0.00405642811666273,0.00405610991031842,0.00405626291313516,0.00405762696805504,0.00404824390260209,0.00401446830839349,0.0039809940300258,0.0482917413415679,1
ie,outwith,voc,masked,2022,2024,sec05,E_Solvents,6,Solvents,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,30265.5845821403,2312.56610511097,2379.26692629376,2436.85557413765,2466.70169983476,2546.98444765856,2667.42416806826,2676.56709562659,2675.46689512836,2658.72498138192,2592.84798879524,2491.46818249801,2360.71051760628,30265.5845821404,0.999999999999997
uk,sea,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0.0363099924109796,0.00277441387258112,0.0028544356644742,0.00292352547043835,0.00295933223288874,0.00305564842847742,0.00320014143578034,0.00321111031792292,0.00320979039391364,0.00318970491499534,0.0031106714803565,0.00298904488539379,0.00283217331375726,0.0363099924109796,1
uk,outwith,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,3823.68612208848,292.387409973874,300.34444721612,307.641632765121,311.550357919413,321.760267467068,336.983698266948,338.108774145871,338.179407988671,336.10088705114,327.499289512507,314.640081583594,298.489868198123,3823.68612208845,1.00000000000001
ie,sea,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,sea,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,outwith,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,37.2048172270587,1.33710757437349,1.58163541456354,1.81353296548077,3.19908942433197,4.91151492527927,5.93127432771249,6.00672057283352,4.49995805308721,2.99130064789289,2.32592373116632,1.4638136297158,1.14294596062135,37.2048172270586,1
ie,sea,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,85.4847441473022,3.07224460195992,3.63409119639318,4.16691743466136,7.35048204307408,11.2850869337909,13.6281671611918,13.8015184485179,10.3394611642381,6.87305004059527,5.34422716960083,3.36337450206783,2.62612345120855,85.4847441472998,1.00000000000003
ie,outwith,voc,masked,2022,2024,sec07,G_Shipping,8,Shipping,month,44.121488921499,1.58568651660156,1.87567402886641,2.1506831805382,3.79382561492314,5.82460464839706,7.03394544161903,7.12341774430399,5.33653607743299,3.54740725082485,2.75833146849249,1.73594823628571,1.3554287132138,44.1214889214992,0.999999999999994
