EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
RO,21,Romania,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,2.43019844796752
ES,22,Spain,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0774869567540463
SE,23,Sweden,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.168173062710681
CH,24,Switzerland,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0310245647504125
TR,25,Turkey,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,38.1981930565259
GB,27,United Kingdom,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.817233983762692
NOS,31,North Sea,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.686548016082228
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,2.62324072874776
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,24.8799942786006
BLS,34,Black Sea,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,4.90228709686724
BY,39,Belarus,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,3.13472787491312
UA,40,Ukraine,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,16.3480962060882
MD,41,Republic of Moldova,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.00263580472627655
EE,43,Estonia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.213421677651638
LV,44,Latvia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.126516312474877
LT,45,Lithuania,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0760734061709954
CZ,46,Czech Republic,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,2.59966784487203
SK,47,Slovakia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.237173657861675
SI,48,Slovenia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.156101410852003
HR,49,Croatia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0106697875317477
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.00304501664638519
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,8.47479295349121
GE,54,Georgia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.225785742837922
CY,55,Cyprus,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0277862813278675
LI,59,Liechtenstein,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.00106392458199116
DE,60,Germany,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,9.29919694976654
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,15.7604776728066
NOA,63,North Africa,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,28.2516069384569
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.614180369980604
AZ,69,Azerbaijan,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,1.36900618171692
RS,72,Serbia,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,41.7939585506916
ME,73,Montenegro,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,3.98473463680084
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.0757297325134277
CAS,80,Caspian Sea,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,0.127691695746034
TJ,81,Tajikistan,Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,1.23825210263237
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,70.7190456105086
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,23.8459217401855
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_2,2,sox,2021,A_PublicPower,PublicPower,235.115590706754
AL,1,Albania,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.00914521852135658
AT,2,Austria,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.17068423503269
BE,3,Belgium,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0749641579376257
BG,4,Bulgaria,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,3.09571364572984
DK,6,Denmark,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0782105796825318
FI,7,Finland,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.419908062306273
FR,8,France,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.464605990291822
GR,11,Greece,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,1.07635183334351
HU,12,Hungary,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.499270450894322
IS,13,Iceland,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,2.15215757489204e-05
IE,14,Ireland,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.182006458403123
LU,16,Luxembourg,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.00655482547726888
NL,17,Netherlands,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.103073312160792
NO,18,Norway,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0612814677378192
PL,19,Poland,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,14.4989776083925
PT,20,Portugal,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0349818639769661
RO,21,Romania,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,2.27254948607604
ES,22,Spain,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0866912080232299
SE,23,Sweden,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.157942155037948
CH,24,Switzerland,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0264996869521201
TR,25,Turkey,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,34.1999268948637
GB,27,United Kingdom,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.727604370986584
NOS,31,North Sea,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.523137317237972
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,2.83627787222681
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,25.9216176373798
BLS,34,Black Sea,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,4.38502028681167
BY,39,Belarus,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,2.80447248653581
UA,40,Ukraine,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,14.6251202072213
MD,41,Republic of Moldova,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.00235983824240975
EE,43,Estonia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.193750670902766
LV,44,Latvia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.108708667563203
LT,45,Lithuania,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0697451462989266
CZ,46,Czech Republic,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,2.30333735870513
SK,47,Slovakia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.204623489026519
SI,48,Slovenia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.146613566985789
HR,49,Croatia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0097393792367584
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.00277096515893936
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,7.58486834716797
GE,54,Georgia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.205588483971483
CY,55,Cyprus,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0251565928513167
LI,59,Liechtenstein,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.000911847850678896
DE,60,Germany,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,7.90274844254877
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,15.6926913843663
NOA,63,North Africa,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,31.2577495712948
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.618911328010203
AZ,69,Azerbaijan,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,1.49769294929504
RS,72,Serbia,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,37.5107565578222
ME,73,Montenegro,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,3.98781885727091
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.0757297325134277
CAS,80,Caspian Sea,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,0.127691695746034
TJ,81,Tajikistan,Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,1.23825290062255
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,70.7190461644966
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,23.8459217401855
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_3,3,sox,2021,A_PublicPower,PublicPower,235.115590706754
AL,1,Albania,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.00883220010995865
AT,2,Austria,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.159410744813611
BE,3,Belgium,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0723254236952962
BG,4,Bulgaria,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,2.92880110780251
DK,6,Denmark,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0716789377006378
FI,7,Finland,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.389479942224898
FR,8,France,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.417610200752176
GR,11,Greece,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,1.02894494628906
HU,12,Hungary,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.445844394625512
IS,13,Iceland,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,2.0870678126812e-05
IE,14,Ireland,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.176635994855035
LU,16,Luxembourg,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.00618483748741801
NL,17,Netherlands,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.10058938817092
NO,18,Norway,Emis_EUR_PublicPower_4,4,sox,2021,A_PublicPower,PublicPower,0.0580260776969662
