EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AZ,69,Azerbaijan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00384197697721197
RS,72,Serbia,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.129640639066696
ME,73,Montenegro,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.188621070484485
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.0623412656784058
CAS,80,Caspian Sea,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.00324560067339479
TJ,81,Tajikistan,Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.101594202176851
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,1.02986520950409
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,0.545236514467339
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_2,2,pmco,2021,A_PublicPower,PublicPower,3.51614931836803
AL,1,Albania,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000382642117794603
AT,2,Austria,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0160742069047847
BE,3,Belgium,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00316428418136562
BG,4,Bulgaria,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00585988811274092
DK,6,Denmark,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00310259079280367
FI,7,Finland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0394083744212412
FR,8,France,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0178904548657475
GR,11,Greece,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0131908534672111
HU,12,Hungary,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0163267134586961
IS,13,Iceland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,4.14063077187166e-07
IE,14,Ireland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00501581672648645
LU,16,Luxembourg,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00040150170612344
NL,17,Netherlands,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000991487690407894
NO,18,Norway,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.00790682386653862
PL,19,Poland,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.289962063710273
PT,20,Portugal,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.000912722908506822
RO,21,Romania,Emis_EUR_PublicPower_3,3,pmco,2021,A_PublicPower,PublicPower,0.0425331036934804
